Index_no,listing_id,date,availability
921,3308979,7/12/2016,1
922,3308979,7/13/2016,1
923,3308979,7/14/2016,1
924,3308979,7/15/2016,1
925,3308979,7/16/2016,1
926,3308979,7/17/2016,1
927,3308979,7/18/2016,1
928,3308979,7/19/2016,1
929,3308979,7/20/2016,1
930,3308979,7/21/2016,1
931,3308979,7/22/2016,1
932,3308979,7/23/2016,1
933,3308979,7/24/2016,1
934,3308979,7/25/2016,1
935,3308979,7/26/2016,1
936,3308979,7/27/2016,1
937,3308979,7/28/2016,1
938,3308979,7/29/2016,1
939,3308979,7/30/2016,1
940,3308979,7/31/2016,1
941,3308979,8/1/2016,1
942,3308979,8/2/2016,1
943,3308979,8/3/2016,1
944,3308979,8/4/2016,1
945,3308979,8/5/2016,1
946,3308979,8/6/2016,1
947,3308979,8/7/2016,1
948,3308979,8/8/2016,1
949,3308979,8/9/2016,1
950,3308979,8/10/2016,1
951,3308979,8/11/2016,1
952,3308979,8/12/2016,1
953,3308979,8/13/2016,1
954,3308979,8/14/2016,1
955,3308979,8/15/2016,1
956,3308979,8/16/2016,1
957,3308979,8/17/2016,1
958,3308979,8/18/2016,1
959,3308979,8/19/2016,1
960,3308979,8/20/2016,1
961,3308979,8/21/2016,1
962,3308979,8/22/2016,1
963,3308979,8/23/2016,1
964,3308979,8/24/2016,1
965,3308979,8/25/2016,1
966,3308979,8/26/2016,1
967,3308979,8/27/2016,1
968,3308979,8/28/2016,1
969,3308979,8/29/2016,1
970,3308979,8/30/2016,1
971,3308979,8/31/2016,1
972,3308979,9/1/2016,1
973,3308979,9/2/2016,1
974,3308979,9/3/2016,1
